pubchem_cid	concept_id	concept_name	total_labels	type	n_labels	percent_labels	occurs_min	occurs_max	occurs_mean	occurs_mode	occurs_sd	occurs_iqr
62819	C0021359	infertility	1	indication	1	1	1	1	1	1		0
36811	C0004238	atrial fibrillation	9	indication	5	0.555555555555556	1	1	1	1	0	0
3086257	C0011168	dysphagia	3	indication	2	0.666666666666667	1	1	1	1	0	0
29029	C0001144	acne vulgaris	85	indication	26	0.305882352941176	1	1	1	1	0	0
53232	C0858310	normal triglyceride	48	indication	8	0.166666666666667	1	1	1	1	0	0
5825	C0677850	adjunctive treatment	16	indication	3	0.1875	1	1	1	1	0	0
6602291	C0021311	infection	4	indication	4	1	1	1	1	1	0	0
38904	C0302592	Cervical cancer	5	indication	1	0.2	1	1	1	1		0
4829	C0015672	fatigue	43	indication	1	0.0232558139534884	1	1	1	1		0
156391	C0001792	geriatric	70	indication	2	0.0285714285714286	1	1	1	1	0	0
1978	C0018799	heart disease	13	indication	8	0.615384615384615	1	1	1	1	0	0
149096	C0006277	bronchitis	59	indication	49	0.830508474576271	1	2	1.46938775510204	1	0.504233775822557	1
5281034	C0178416	hypoplastic anemia	4	indication	4	1	1	1	1	1	0	0
8549	C0023218	leg cramps	2	indication	2	1	1	1	1	1	0	0
6010	C0029191	orchitis	3	indication	3	1	1	1	1	1	0	0
439693	C0023443	Hairy Cell Leukemia	1	indication	1	1	1	1	1	1		0
36462	C0007097	carcinoma	3	indication	1	0.333333333333333	1	1	1	1		0
222786	C0033687	proteinuria	2	indication	2	1	1	1	1	1	0	0
5281021	C0016977	gallbladder disease	34	indication	4	0.117647058823529	1	1	1	1	0	0
5755	C0004096	asthma	30	indication	20	0.666666666666667	1	2	1.4	1	0.502624689950035	1
5281011	C0027794	neural tube defects	38	indication	1	0.0263157894736842	1	1	1	1		0
5311412	C0021368	inflammation	1	indication	1	1	1	1	1	1		0
41867	C0038354	stomach	17	indication	2	0.117647058823529	1	1	1	1	0	0
149096	C0155862	pneumonia due to Streptococcus	59	indication	23	0.389830508474576	1	1	1	1	0	0
2564	C0009763	conjunctivitis	4	indication	4	1	1	1	1	1	0	0
3793	C0239295	esophageal candidiasis	4	indication	1	0.25	1	1	1	1		0
5743	C0009763	conjunctivitis	29	indication	22	0.758620689655172	1	2	1.13636363636364	1	0.351250086657104	0
5280754	C0027721	minimal change nephropathy	25	indication	10	0.4	1	1	1	1	0	0
1548952	C0021359	infertility	4	indication	4	1	1	1	1	1	0	0
5742673	C0021311	infection	10	indication	10	1	2	2	2	2	0	0
18283	C0242656	progression	25	indication	11	0.44	1	1	1	1	0	0
31100	C0559546	ADVERSE REACTIONS	7	indication	6	0.857142857142857	1	1	1	1	0	0
64142	C0021311	infection	18	indication	18	1	1	1	1	1	0	0
4421	C0042029	urinary tract infection	7	indication	6	0.857142857142857	1	1	1	1	0	0
5865	C0687702	remission	43	indication	43	1	1	1	1	1	0	0
2802	C0001818	agoraphobia	34	indication	23	0.676470588235294	1	1	1	1	0	0
4168	C0027498	nausea and vomiting	36	indication	9	0.25	2	2	2	2	0	0
5282241	C0006277	bronchitis	2	indication	2	1	2	2	2	2	0	0
2369	C0028840	ocular hypertension	7	indication	4	0.571428571428571	1	1	1	1	0	0
468595	C0026946	fungal infection	2	indication	2	1	1	2	1.5	1	0.707106781186548	0.5
312	C0023890	cirrhosis	2	indication	1	0.5	2	2	2	2		0
5324345	C0005587	bipolar depression	26	indication	1	0.0384615384615385	1	1	1	1		0
5755	C0038013	ankylosing spondylitis	30	indication	20	0.666666666666667	1	1	1	1	0	0
5281021	C0025289	meningitis	34	indication	22	0.647058823529412	1	2	1.09090909090909	1	0.29424494316825	0
3639	C0235437	dependent edema	67	indication	49	0.73134328358209	1	1	1	1	0	0
54454	C0010068	coronary heart disease	84	indication	81	0.964285714285714	1	2	1.41975308641975	1	0.496593332890812	1
150610	C0555973	foot infections	12	indication	7	0.583333333333333	1	1	1	1	0	0
